Pokemon,Trainer,Level,Move 1,Move 2,Move 3,Move 4
Gothitelle,Lady Brianna,88,Psychic,Thunderbolt,Signal Beam,Hypnosis
Gothitelle,Twins Miu And Yuki,95,Psychic,Fake Out,Protect,Thunder Wave
Gothitelle,Elite Four Phoebe,99,Psychic,Thunderbolt,Dazzling Gleam,Shadow Ball
Gourgeist-Small,Swimmer♂ Rodney,88,Power Whip,Poltergeist,Shadow Sneak,Explosion
Gourgeist-Small,Triathlete Kyra,95,Power Whip,Poltergeist,Explosion,Destiny Bond
Gourgeist-Super,Aroma Lady Daisy,39,Seed Bomb,Shadow Claw,Explosion,Trick Room
Granbull,Lady Sarah,24,Play Rough,Brick Break,Crunch,Bulk Up
Granbull,Trainer Rival Cycling Road Sceptile,36,Play Rough,Earthquake,Payback,Counter
Granbull,Gentleman Walter,71,Play Rough,Low Kick,Super Fang,Thunder Wave
Granbull,Team Magma Grunt Magma Hideout #1,74,Play Rough,Earthquake,Fire Punch,Payback
Granbull,Twins Miu And Yuki,95,Play Rough,Close Combat,Stomping Tantrum,Thunder Wave
Grapploct,Battle Girl Luna,27,Revenge,Payback,Liquidation,Pain Split
Grapploct,Battle Girl Cyndy,51,Drain Punch,Skitter Smack,Octolock,Protect
Grapploct,Team Aqua Grunt Aqua Hideout #1,78,Revenge,Ice Punch,Payback,Whirlpool
Graveler,Hiker Marc,23,Bulldoze,Rock Tomb,Stealth Rock,
Graveler-Alola,Hiker Marc,24,Wild Charge,Rock Tomb,Take Down,Submission
Greedent,Parasol Lady Clarissa,66,Body Slam,Earthquake,Crunch,Swords Dance
Greedent,Cool Trainer Wendy & Braxton,95,Return,Body Press,Crunch,Stuff Cheeks
Greninja,Ninja Boy Lung,45,Water Shuriken,Gunk Shot,Acrobatics,Low Kick
Greninja,Ninja Boy Riley,70,Hydro Pump,Gunk Shot,Ice Beam,Extrasensory
Greninja,Swimmer♀ Grace & Declan,81,Dark Pulse,Ice Beam,Grass Knot,Mat Block
Greninja,Gentleman Clifford & Macey,85,Hydro Pump,Dark Pulse,Ice Beam,Low Kick
Greninja,Swimmer♂ Reed,88,Dark Pulse,Gunk Shot,Hidden Power Fire,Spikes
Greninja,Beauty Bridget,90,Blizzard,Low Kick,Spikes,Toxic Spikes
Greninja,Elite Four Sidney,99,Dark Pulse,Scald,Spikes,Toxic Spikes
Greninja-Ash,Ninja Boy Gren,66,Surf,Dark Pulse,Water Shuriken,Extrasensory
Greninja-Ash,Expert Timothy,97,Hydro Pump,Dark Pulse,Water Shuriken,Ice Beam
Grimmsnarl,Sr. And Jr. Tyra And Ivy,49,Foul Play,Spirit Break,Fake Out,Swagger
Grimmsnarl,Breeder Gabrielle,73,Play Rough,Sucker Punch,Body Press,Bulk Up
Grimmsnarl,Team Magma Grunt Magma Hideout #4teen,76,Play Rough,Darkest Lariat,Fake Out,Scary Face
Grimmsnarl,Fisherman Roger & Koji,89,Foul Play,Fake Out,Swagger,Thunder Wave
Groudon,Magma Leader Maxie Magma Hideout,80,Precipice Blades,Stone Edge,Heat Crash,Rock Polish
Grubbin,Bug Catcher Rick,6,Bug Bite,Spark,Vise Grip,
Grumpig,Psychic Jaclyn,33,Extrasensory,Focus Blast,Power Gem,Reflect
Gumshoos,Team Aqua Grunt Mt Pyre #1,74,Frustration,Earthquake,Crunch,Endeavor
Gurdurr,Black Belt Cristian,18,Low Sweep,Mach Punch,Bulldoze,Rock Throw
Guzzlord,Team Magma Grunt Space Center #7,86,Dragon Rush,Knock Off,Heavy Slam,Earthquake
Gyarados,Rich Boy Dawson,23,Dragon Rage,,,
Gyarados,Camper Lawrence,44,Aqua Tail,Bounce,Dragon Dance,Substitute
Gyarados,Sailor Dwayne,58,Waterfall,Earthquake,Lash Out,Thunder Wave
Gyarados,Swimmer♀ Rose & Deandre,58,Hurricane,Waterfall,Crunch,Ice Fang
Gyarados,Cool Trainer Carolina & Cory,64,Waterfall,Power Whip,Ice Fang,Dragon Dance
Gyarados,Trainer Rival Bridge Swampert,65,Hurricane,Muddy Water,Waterfall,Thunder
Gyarados,Expert Kevin,67,Waterfall,Earthquake,Dragon Dance,Thunder Wave
Gyarados,Team Aqua Grunt Mt Pyre #2,72,Aqua Tail,Crunch,Ice Fang,Dragon Dance
Gyarados,Team Aqua Grunt Aqua Hideout #5,79,Waterfall,Earthquake,Stone Edge,Dragon Dance
Gyarados,Psychic Hannah & Sylvia,85,Bounce,Waterfall,Dragon Dance,Protect
Gyarados,Team Aqua Grunt Seafloor Cavern #2,85,Waterfall,Earthquake,Ice Fang,Dragon Dance
Gyarados,Expert Mollie & Conor,90,Bounce,Waterfall,Power Whip,Icy Wind
Gyarados,Cool Trainer Samuel,93,Waterfall,Power Whip,Ice Fang,Dragon Dance
Gyarados,Dragon Tamer Nicolas,95,Waterfall,Power Whip,Earthquake,Scale Shot
Gyarados-Mega,Aqua Admin Matt Aqua Hideout,82,Crunch,Waterfall,Earthquake,Dragon Dance
Gyarados-Mega,Expert Mollie & Conor,90,Crunch,Waterfall,Dragon Dance,Protect
Gyarados-Mega,Elite Four Sidney,100,Waterfall,Crunch,Earthquake,Dragon Dance
Gyarados-Mega,Elite Four SidneyDouble,100,Waterfall,Power Whip,Lash Out,Icy Wind
Hakamo-o,Battle Girl Jocelyn,18,Dragon Breath,Dragon Tail,Iron Defense,Protect
Hariyama,Psychic Brandi & Aisha,27,Wake-Up Slap,Rock Slide,Knock Off,Fake Out
Hariyama,Hex Maniac Leah,72,Close Combat,Knock Off,Fake Out,Heavy Slam
Hariyama,Team Aqua Grunt Aqua Hideout #2,78,Close Combat,Poison Jab,Rock Slide,Thunder Punch
Hatterene,Parasol Lady Clarissa,66,Psychic,Draining Kiss,Calm Mind,Protect
Hatterene,Psychic Blake & Samantha,85,Psychic,Dazzling Gleam,Protect,Trick Room
Hatterene,Pokémaniac Hambino,95,Misty Explosion,Psychic,Mystical Fire,Nuzzle
Hawlucha,Trainer Rival Cycling Road Sceptile,36,Drain Punch,Acrobatics,Bulk Up,Roost
Hawlucha,Trainer Rival Cycling Road Swampert,36,Close Combat,Acrobatics,Zen Headbutt,Swords Dance
Hawlucha,Bird Keeper Josue & Andres,64,Close Combat,Dual Wingbeat,Reversal,Endeavor
Hawlucha,Leader Winona,68,Close Combat,Acrobatics,Stone Edge,Swords Dance
Hawlucha,Aqua Admin ShellySeafloorCavern,88,Close Combat,Acrobatics,Stone Edge,Swords Dance
Hawlucha,Winstrate Vito VR,95,Close Combat,Acrobatics,Stone Edge,Swords Dance
Hawlucha,Battle Girl Helene,96,Close Combat,Acrobatics,Baton Pass,Swords Dance
Haxorus,Team Aqua Grunt Weather Inst #3,61,Dual Chop,Aqua Tail,Iron Head,Dragon Dance
Haxorus,Team Aqua Grunt Seafloor Cavern #2,86,Outrage,Iron Tail,Aqua Tail,Dragon Dance
Haxorus,Fisherman Roger & Koji,89,Dual Chop,Earthquake,Aqua Tail,Swords Dance
Heatmor,Kindler Hayden,33,Fire Lash,Giga Drain,Stomping Tantrum,Rock Tomb
Heatmor,Collector Hector,52,Flare Blitz,Focus Blast,Thunder Punch,Grass Knot
Heatran,Magma Leader Maxie Space Center,88,Magma Storm,Heat Wave,Flash Cannon,Earth Power
Heliolisk,Guitarist Brian,37,Thunderbolt,Hyper Voice,Signal Beam,Grass Knot
Heliolisk,Pokémaniac Wyatt,46,Hyper Voice,Thunderbolt,Grass Knot,Magnet Rise
Heliolisk,Ranger Lydian,60,Thunder,Dragon Pulse,Weather Ball,Grass Knot
Heliolisk,Trainer Rival Bridge Blaziken,65,Thunder,Hyper Voice,Weather Ball,Grass Knot
Heliolisk,Team Aqua Grunt Aqua Hideout #6,78,Hyper Voice,Thunderbolt,Weather Ball,Glare
Heliolisk,Triathlete Chase & Allison,87,Thunderbolt,Dragon Pulse,Weather Ball,Grass Knot
Heliolisk,Old Couple John And Jay,96,Thunder,Electroweb,Hyper Voice,Grass Knot
Heracross,Sailor Brenden,19,Pin Missile,Rock Smash,,
Heracross,Black Belt Rhett & Marcos,38,Leech Life,Brick Break,Facade,Protect
Heracross,Black Belt Daisuke,45,Close Combat,Megahorn,Retaliate,Facade
Heracross,Young Couple Brian And Casey,70,Close Combat,Megahorn,Rock Slide,Smart Strike
Heracross-Mega,Cool Trainer Michelle,95,Close Combat,Pin Missile,Rock Blast,Substitute
Herdier,Tuber Lola,14,Headbutt,Bite,Ice Fang,Rock Smash
Hippowdon,Camper Drew,44,Earthquake,Rock Slide,Curse,Slack Off
Hippowdon,Cool Trainer Cristin,71,Earthquake,Crunch,Stealth Rock,Slack Off
Hitmonchan,Breeder Lydia,26,Sky Uppercut,Mach Punch,Ice Punch,Shadow Punch
Hitmonlee,Pokémaniac Mark,73,Close Combat,Double-Edge,Knock Off,Fake Out
Hitmonlee,Magma Admin Tabitha Magma Hideout,76,Low Kick,Earthquake,Stone Edge,Fake Out
Hitmonlee,Bird Keeper Aidan & Athena,89,Close Combat,Retaliate,Acrobatics,Fake Out
Hitmontop,Leader Brawly,20,Mach Punch,Rock Slide,Fake Out,Pursuit
Hitmontop,Battle Girl Cyndy,51,Mach Punch,Bullet Punch,Fake Out,Triple Axel
Hitmontop,Black Belt Hawk,96,Close Combat,Mach Punch,Bullet Punch,Triple Axel
Honchkrow,Cool Trainer Parker,40,Night Slash,Sucker Punch,Air Cutter,Heat Wave
Honchkrow,Rich Boy Braw,48,Brave Bird,Pursuit,Superpower,Heat Wave
Honchkrow,Bird Keeper Perry & Chester,60,Brave Bird,Night Slash,Sucker Punch,Superpower
Honchkrow,Team Aqua Grunt Seafloor Cavern #1,86,Brave Bird,Night Slash,Superpower,Substitute
Honchkrow,Cool Trainer Julie & Dianne,94,Hurricane,Dark Pulse,Heat Wave,Tailwind
Hoopa,Leader Tate,86,Hyperspace Hole,Shadow Ball,Aura Sphere,Substitute
Hoopa-Unbound,Leader Liza,86,Hyperspace Fury,Zen Headbutt,Expanding Force,Aura Sphere
Houndoom,Trainer Rival Cycling Road Sceptile,36,Flamethrower,Dark Pulse,Pursuit,Solar Beam
Houndoom,Trainer Rival Cycling Road Swampert,36,Flamethrower,Dark Pulse,Pursuit,Solar Beam
Houndoom,Sr. And Jr. Tyra And Ivy,50,Foul Play,Burning Jealousy,Sludge Bomb,Protect
Houndoom,Kindler Axle,55,Fire Blast,Dark Pulse,Pursuit,Destiny Bond
Houndoom,Team Magma Grunt Magma Hideout #2,75,Flamethrower,Dark Pulse,Scorching Sands,Will-O-Wisp
Houndoom-Mega,Magma Leader Maxie Magma Hideout,80,Flamethrower,Dark Pulse,Solar Beam,Destiny Bond
Huntail,Fisherman Wade,59,Aqua Tail,Crunch,Ice Fang,Shell Smash
Huntail,Team Aqua Grunt Seafloor Cavern #4,87,Liquidation,Crunch,Ice Fang,Shell Smash
Hydreigon,Cool Trainer Gustavo,70,Dragon Pulse,Dark Pulse,Nasty Plot,Roost
Hydreigon,Aqua Leader Archie Mt Pyre,76,Dragon Pulse,Dark Pulse,Aura Sphere,Roost
Hydreigon,Bird Keeper Camden & Donny,85,Dragon Pulse,Dark Pulse,Aura Sphere,Roost
Hydreigon,Lass Crissy,90,Draco Meteor,Earthquake,Iron Tail,Aqua Tail
Hydreigon,Cool Trainer Hope & Albert,94,Dragon Pulse,Dark Pulse,Heat Wave,Tailwind
Hydreigon,Cool Trainer Michelle,95,Dragon Pulse,Dark Pulse,Flamethrower,Nasty Plot
Hypno,Psychic Brandi & Aisha,27,Psychic,Dazzling Gleam,Calm Mind,Dark Void
Hypno,Twins Amy And Liv,39,Dream Eater,Nightmare,Dark Void,
Illumise,Bug Catcher Doug,61,Bug Buzz,,,
Incineroar,Leader Flannery,57,Overheat,Blaze Kick,Darkest Lariat,Fake Out
Incineroar,Team Magma Grunt Magma Hideout #4teen,75,Blaze Kick,Knock Off,Earthquake,Fake Out
Incineroar,Bird Keeper Aidan & Athena,89,Flare Blitz,Throat Chop,Low Kick,Fake Out
Incineroar,Elite Four SidneyDouble,99,Flare Blitz,Knock Off,Fire Spin,Fake Out
Indeedee,Trainer Rival Cycling Road Blaziken,37,Hyper Voice,Expanding Force,Light Screen,Reflect
Indeedee,Trainer Rival Cycling Road Sceptile,37,Hyper Voice,Expanding Force,Light Screen,Reflect
Indeedee,Trainer Rival Cycling Road Swampert,37,Hyper Voice,Expanding Force,Light Screen,Reflect
Indeedee,Triathlete Aubrey,82,Expanding Force,Dazzling Gleam,Mystical Fire,Calm Mind
Indeedee,Winstrate Vito VR,96,Future Sight,Expanding Force,Dazzling Gleam,Mystical Fire
Indeedee-F,Magma Grunt Mt Chimney #2 & Grunt One,52,Hyper Voice,Expanding Force,,
Indeedee-F,Psychic Cameron & Kindra,95,Expanding Force,Encore,Reflect,Light Screen
Infernape,Kindler Axle,54,Fire Blast,Focus Blast,Grass Knot,Fake Out
Infernape,Black Belt Atsushi,72,Flamethrower,Vacuum Wave,Grass Knot,Nasty Plot
Infernape,Bird Keeper Camden & Donny,87,Close Combat,Overheat,Poison Jab,Fake Out
Infernape,Triathlete Kyra,96,Close Combat,Fire Punch,Thunder Punch,U-turn
Inteleon,Cool Trainer Parker,39,Snipe Shot,Ice Beam,Dark Pulse,Laser Focus
Inteleon,Team Aqua Grunt Mt Pyre #4,75,Snipe Shot,Air Slash,Light Screen,Reflect
Inteleon,Lass Andrea & Connie,91,Muddy Water,Icy Wind,Light Screen,Reflect
Inteleon,Cool Trainer Felix,95,Snipe Shot,Hidden Power Grass,Acrobatics,Work Up
Jellicent,Fisherman Andrew,39,Scald,Shadow Ball,Wring Out,Strength Sap
Jellicent,Cool Trainer Gustavo,71,Scald,Hex,Toxic,Strength Sap
Jellicent,Psychic Blake & Samantha,85,Hydro Pump,Shadow Ball,Strength Sap,Trick Room
Jellicent,Swimmer♂ Herman,91,Water Spout,Scald,Shadow Ball,Strength Sap
Jigglypuff,Lady Cindy,10,Round,Draining Kiss,Attract,Thunder Wave
Jolteon,Battle Girl Vivian,33,Thunderbolt,Hyper Voice,Magnet Rise,Sing
Jolteon,Ninja Boy Yasu & Fabian,65,Thunder,Hyper Voice,Weather Ball,Detect
Jolteon,Swimmer♂ Reed,87,Thunderbolt,Volt Switch,Hidden Power Grass,Weather Ball
Jumpluff,Triathlete Benjamin,36,Seed Bomb,Acrobatics,Spore,Swords Dance
Jumpluff,Team Magma Grunt Magma Hideout #4teen,75,Air Slash,Leech Seed,Spore,Substitute
Jumpluff,Magma Grunt Magma Hideout #7 & Grunt 8,78,Solar Beam,Air Slash,Growth,Spore
Jumpluff,Dumbass Soupercell,100,Light Screen,Memento,Reflect,Spore
Jynx,Twins Amy And Liv,39,Dream Eater,Ice Beam,Nightmare,Lovely Kiss
Jynx,Parasol Lady Koko,61,Psychic,Freeze-Dry,Lovely Kiss,Substitute
Jynx,Beauty Jessica,69,Ice Beam,Psychic,Aura Sphere,Lovely Kiss
Jynx,Sr. And Jr. Kim And Iris,84,Blizzard,Psychic,Aura Sphere,Fake Out
Jynx,Hex Maniac Kathleen & Nicholas,85,Blizzard,Psychic,Fake Out,Lovely Kiss
Jynx,Swimmer♂ Clarence,87,Psychic,Freeze-Dry,Aura Sphere,Nasty Plot
Kabutops,Bug Maniac Taylor,58,Stone Edge,Liquidation,Aqua Jet,Leech Life
Kabutops,Lady Brianna,89,Stone Edge,Liquidation,Metal Sound,Stealth Rock
Kangaskhan,Pokéfan Isabel & Kaleb,37,Return,Fake Out,Hammer Arm,Sucker Punch
Kangaskhan,Beauty Jessica,70,Double-Edge,Earthquake,Drain Punch,Sing
Kangaskhan,Hex Maniac Valerie,74,Double-Edge,Earthquake,Sucker Punch,Counter
Kangaskhan,Team Magma Grunt Magma Hideout #13,75,Return,Fake Out,Low Kick,Sing
Kangaskhan,Lass Andrea & Connie,90,Body Slam,Aqua Tail,Icy Wind,Fake Out
Kangaskhan-Mega,Cool Trainer Julie & Dianne,95,Body Slam,Crunch,Seismic Toss,Fake Out
Kartana,Aqua Admin Matt Aqua Hideout,81,Leaf Blade,Smart Strike,Sacred Sword,Night Slash
Kecleon,Battle Girl Jocelyn,17,Drain Punch,Dizzy Punch,Shadow Punch,Thunder Wave
Kecleon,Pokémaniac Wyatt,45,Drain Punch,Knock Off,Power-Up Punch,Shadow Sneak
Kecleon,Ninja Boy Jack,95,Drain Punch,Sucker Punch,Knock Off,Power-Up Punch
Keldeo,Leader Juan,92,Hydro Pump,Secret Sword,Muddy Water,Coaching
Kingdra,Fisherman Dale,33,Waterfall,Breaking Swipe,Double-Edge,Rain Dance
Kingdra,Trainer Rival Cycling Road Blaziken,36,Liquidation,Scale Shot,Iron Head,Dragon Dance
Kingdra,Trainer Rival Cycling Road Sceptile,36,Liquidation,Breaking Swipe,Iron Head,Dragon Dance
Kingdra,Ranger Lydian,59,Liquidation,Dragon Pulse,Octazooka,Hurricane
Kingdra,Team Aqua Grunt Mt Pyre #1,73,Draco Meteor,Liquidation,Octazooka,Focus Energy
Kingdra,Team Aqua Grunt Seafloor Cavern #1,85,Draco Meteor,Octazooka,Agility,Focus Energy
Kingdra,Swimmer♀ Katie,89,Hydro Pump,Dragon Pulse,Hurricane,Ice Beam
Kingdra,Triathlete Pablo,89,Outrage,Waterfall,Facade,Dragon Dance
Kingdra,Bug Catcher Davis,95,Dragon Pulse,Octazooka,Flip Turn,Hurricane
Kingler,Ranger Jackson,61,Crabhammer,High Horsepower,X-Scissor,Knock Off
Kingler,Team Aqua Grunt Aqua Hideout #1,78,Liquidation,X-Scissor,Rock Slide,Agility
Kleavor,Bird Keeper Presley & Auron,84,Rock Slide,Skitter Smack,Close Combat,Tailwind
Kleavor,Battle Girl Helene,95,Rock Slide,Skitter Smack,Agility,Baton Pass
Klefki,Sr. And Jr. Tyra And Ivy,50,Foul Play,Swagger,,
Klinklang,Breeder Isaac,29,Gear Grind,Return,Wild Charge,Autotomize
Klinklang,Guitarist Shawn & Angelo,34,Steel Beam,Thunderbolt,Rising Voltage,Electric Terrain
Klinklang,Triathlete Julio,51,Gear Grind,Return,Wild Charge,Shift Gear
Klinklang,Team Magma Grunt Space Center #3,86,Gear Grind,,,
Komala,Rich Boy Dawson,22,Body Slam,Wood Hammer,Brick Break,Sucker Punch
Komala,Triathlete Xayah,90,Return,Wood Hammer,Earthquake,Play Rough
Kommo-o,Magma Leader Maxie Mt Chimney,54,Body Press,Dragon Tail,Poison Jab,Iron Defense
Kommo-o,Beauty Tiffany & Olivia,89,Clanging Scales,Aura Sphere,Flash Cannon,Protect
Kommo-o,Cool Trainer Quincy,94,Close Combat,Dragon Claw,Poison Jab,Dragon Dance
Kommo-o,Psychic Alix,95,Dragon Claw,Drain Punch,Iron Tail,Dragon Dance
Kommo-o,Guitarist Fernando & Jazmyn,96,Dragon Pulse,Aura Sphere,Boomburst,
Krabby,Triathlete Mikey,9,Aqua Jet,Stomp,Mud Shot,
Kricketune,Bug Catcher Lyle,21,Bug Bite,Fell Stinger,Rock Smash,Aerial Ace
Krookodile,Ruin Maniac Rigger,44,Earthquake,Power Trip,Rock Slide,Bulk Up
Krookodile,Winstrate Vicky,44,Earthquake,Crunch,Pursuit,Aqua Tail
Krookodile,Black Belt Atsushi,73,Earthquake,Foul Play,Close Combat,Rock Tomb
Krookodile,Psychic Virgil & Nate,85,High Horsepower,Knock Off,Close Combat,Fling
Krookodile,Black Belt Hawk,95,Earthquake,Pursuit,Stone Edge,Aqua Tail
Kubfu,Leader Brawly,20,Brick Break,Mega Punch,Zen Headbutt,Sucker Punch
Kyogre,Aqua Leader Archie Seafloor Cavern,90,Origin Pulse,Liquidation,Thunder,Ice Beam
Kyogre-Primal,Champion Wallace,100,Origin Pulse,Liquidation,Thunder,Ice Beam
Kyurem,Aqua Admin ShellySeafloorCavern,89,Ice Beam,Freeze-Dry,Earth Power,Roost
Kyurem-Black,Elite Four GlaciaDouble,100,Draco Meteor,Icicle Spear,Fusion Bolt,Stone Edge
Kyurem-White,Elite Four Glacia,100,Dragon Pulse,Ice Beam,Fusion Flare,Earth Power
Lairon,Hiker Marc,23,Iron Tail,Rock Slide,Stomping Tantrum,Reversal
Landorus,Magma Leader Maxie Space Center,88,Earth Power,Psychic,Weather Ball,Protect
Lanturn,Sr. And Jr. Anna And Meg,30,Discharge,Brine,Signal Beam,Icy Wind
Lanturn,Leader Wattson,35,Discharge,Scald,Ice Beam,Thunder Wave
Lanturn,Aqua Admin Shelly Weather Institute,64,Thunderbolt,Scald,Volt Switch,Ice Beam
Lanturn,Team Aqua Grunt Aqua Hideout #3,78,Hydro Pump,Thunder,Confuse Ray,Thunder Wave
Lanturn,Sis And Bro Lila And Roy,86,Hydro Pump,Thunder,Ice Beam,Protect
Lapras,Trainer Chelle Daycare,30,Frost Breath,Thunderbolt,Body Press,Sing
Lapras,Beauty Johanna,58,Freeze-Dry,Thunderbolt,Protect,Roar
Lapras,Triathlete Chase & Allison,88,Ice Beam,Freeze-Dry,Solar Beam,Weather Ball
Lapras,Swimmer♀ Carlee & Harrison,91,Blizzard,Scald,Freeze-Dry,Sheer Cold
Larvesta,Bug Maniac James,21,Skitter Smack,Flame Charge,Roost,Will-O-Wisp
Latias,Leader Liza,85,Dragon Pulse,Aura Sphere,Mystical Fire,Calm Mind
Latias-Mega,Dragon Tamer Nicolas,96,Psychic,Mystical Fire,Calm Mind,Recover
Latios-Mega,Leader Tate,85,Draco Meteor,Zen Headbutt,Earthquake,Dragon Dance
Leafeon,Picnicker Charlotte,48,Leaf Blade,Knock Off,Grass Whistle,Swords Dance
Leafeon,Kindler Bryant & Shayla,51,Solar Blade,Knock Off,Fake Tears,Grass Whistle
Leavanny,Picnicker Irene,45,Leaf Blade,X-Scissor,Flail,Grass Whistle
Ledian,Battle Girl Lilith,19,Drain Punch,Thunder Punch,Ice Punch,Mach Punch
Lickilicky,Picnicker Sophie,45,Double-Edge,Power Whip,Brick Break,Knock Off
Lickilicky,Kindler Jeff,53,Explosion,Body Slam,Fire Blast,Power Whip
Lickilicky,Ninja Boy Keigo,69,Explosion,Body Slam,Power Whip,Knock Off
Lickilicky,Team Magma Grunt Magma Hideout #4teen,75,Explosion,,,
Liepard,Aqua Grunt Weather Inst #4 & Grunt 5,64,Assurance,Psycho Cut,Fake Out,Fake Tears
Lileep,Youngster Tommy,23,Giga Drain,Ancient Power,Infestation,Recover
Lilligant,Ranger Jenna,69,Petal Dance,Sleep Powder,Synthesis,Quiver Dance
Lilligant,Old Couple John And Jay,95,Energy Ball,Hidden Power Fire,Quiver Dance,Sleep Powder
Lilligant-Hisui,Cool Trainer Edgar,95,Solar Blade,Close Combat,Acrobatics,Sleep Powder
Lillipup,Youngster Calvin,6,Tackle,Bite,Sand Attack,
Linoone,Ranger Catherine,60,Extreme Speed,Stomping Tantrum,Throat Chop,Belly Drum
Linoone-Galar,Youngster Joey,23,Retaliate,Slash,Night Slash,Seed Bomb
Litleo,Youngster Allen,6,Headbutt,Ember,Work Up,
Lombre,Fisherman Elliot,13,Giga Drain,Bubble Beam,Seismic Toss,Teeter Dance
Lopunny,Leader Brawly,19,Retaliate,Headbutt,Drain Punch,
Lopunny-Mega,Cool Trainer Carolina & Cory,65,Return,Facade,Fake Out,Close Combat
Lucario,Breeder Corgi,27,Aura Sphere,Flash Cannon,Shadow Ball,Magnet Rise
Lucario,Cool Trainer Berke,40,Steel Beam,Aura Sphere,Vacuum Wave,Stone Edge
Lucario,Trainer Rival Bridge Sceptile,65,Close Combat,Flash Cannon,Vacuum Wave,Terrain Pulse
Lucario,Black Belt Zander,72,Focus Blast,Flash Cannon,Stone Edge,Extreme Speed
Lucario,Bird Keeper Camden & Donny,86,Aura Sphere,Flash Cannon,Dark Pulse,Detect
Lucario-Mega,Expert Timothy,98,Close Combat,Bullet Punch,Crunch,Swords Dance
Ludicolo,Tuber Simon,58,Waterfall,Seed Bomb,Earthquake,Swords Dance
Ludicolo,Expert Donald,60,Energy Ball,Weather Ball,Flail,Counter
Ludicolo,Trainer Rival Bridge Blaziken,65,Energy Ball,Zen Headbutt,Weather Ball,Fake Out
Ludicolo,Team Aqua Grunt Aqua Hideout #8,78,Waterfall,Grassy Glide,Zen Headbutt,Swords Dance
Ludicolo,Sis And Bro Lila And Roy,86,Energy Ball,Scald,Icy Wind,Fake Out
Ludicolo,Cool Trainer Katelynn,94,Leaf Storm,Scald,Knock Off,Icy Wind
Lumineon,Lass Haley,22,Surf,Air Slash,Icy Wind,
Lumineon,Camper Lawrence,45,Hydro Pump,Ice Beam,Air Slash,Flail
Lunala,Elite Four Phoebe,100,Moongeist Beam,Meteor Beam,Moonblast,Roost
Lunala,Elite Four PhoebeDouble,100,Moongeist Beam,Meteor Beam,Dazzling Gleam,Tailwind
Lunatone,Leader Roxanne,25,Stored Power,Ancient Power,Icy Wind,Hypnosis
Lunatone,Hiker Brice,52,Psychic,Power Gem,Explosion,Trick Room
Lurantis,Aroma Lady Daisy,39,Leaf Storm,Superpower,Leaf Blade,Facade
Luvdisc,Fisherman Phil,70,Hydro Pump,Sweet Kiss,,
Luvdisc, Fisherman Phil,80,Hydro Pump,Sweet Kiss,,
Luvdisc,  Fisherman Phil,90,Hydro Pump,,,
Luxio,Tuber Ricky,14,Spark,Double Kick,Bite,Howl
Luxray,Triathlete Anthony,34,Zing Zap,Play Rough,Crunch,Agility
Luxray,Team Aqua Grunt Mt Pyre #4,75,Zing Zap,Superpower,Crunch,Facade
Luxray,Pokémaniac Hambino,95,Zing Zap,Facade,Crunch,Agility
Lycanroc,Collector John,45,Stone Edge,High Horsepower,Psychic Fangs,Endeavor
Lycanroc-Dusk,Pokéfan Isabel & Kaleb,37,Rock Slide,Accelerock,Stomping Tantrum,Howl
Lycanroc-Dusk,Black Belt Atsushi,73,Accelerock,Close Combat,Crunch,Stealth Rock
Lycanroc-Dusk,Gentleman Clifford & Macey,85,Stone Edge,Accelerock,Close Combat,Psychic Fangs
Lycanroc-Midnight,Cool Trainer Mary,39,Stone Edge,Mega Kick,Iron Tail,Fire Fang
Lycanroc-Midnight,Old Couple John And Jay,94,Stone Edge,Rock Slide,Close Combat,Endeavor
Machamp,Cool Trainer Mary,39,Dynamic Punch,Mega Kick,Stone Edge,Bulk Up
Machamp,Sailor Dwayne,59,Dynamic Punch,Stone Edge,Poison Jab,Knock Off
Machamp,Trainer Rival Lilycove Blaziken,72,Dynamic Punch,Stone Edge,Knock Off,Substitute
Machamp,Trainer Rival Lilycove Sceptile,72,Dynamic Punch,Stone Edge,Knock Off,Substitute
Machamp,Team Magma Grunt Space Center #6,85,Dynamic Punch,Stone Edge,Knock Off,Bulk Up
Machoke,Black Belt Cristian,18,Vital Throw,Facade,Bulk Up,Protect
Magby,Tuber Chandler,14,Incinerate,Brick Break,Mach Punch,Confuse Ray
Magcargo,Hiker Trent,52,Flamethrower,Power Gem,Earth Power,Shell Smash
Magearna,Elite Four GlaciaDouble,100,Flash Cannon,Dazzling Gleam,Encore,Trick Room
Magikarp, Fisherman Darian,12,Hydro Pump,Tackle,Flail,
Magikarp,Fisherman Darian,12,Bounce,,,
Magmortar,Cool Trainer Brooke,44,Flamethrower,Fire Spin,Scorching Sands,Weather Ball
Magmortar,Kindler Cole,54,Flamethrower,Solar Beam,Belch,Earthquake
Magmortar,Team Magma Grunt Magma Hideout#15,75,Flamethrower,Psychic,Thunderbolt,Scorching Sands
Magmortar,Sr. And Jr. Kim And Iris,85,Heat Wave,Flamethrower,Thunderbolt,Weather Ball
Magneton,Triathlete Abigail,34,Thunderbolt,Flash Cannon,Body Press,Screech
Magneton,Breeder Pat,70,Thunderbolt,Flash Cannon,Hidden Power Grass,Magnet Rise
Magnezone,Leader Wattson,34,Discharge,Flash Cannon,Explosion,Hidden Power Grass
